,index
1979-05-15,2.3881966627e-07
1979-06-15,2.6197329817e-07
1979-07-15,2.8070942903e-07
1979-08-15,3.1285088653000004e-07
1979-09-15,3.342671846e-07
1979-10-15,3.4877660937e-07
1979-11-15,3.6670127201e-07
1979-12-15,3.8331697283e-07
1980-01-15,4.109532199e-07
1980-02-15,4.3292087071000003e-07
1980-03-15,4.580126074e-07
1980-04-15,4.8629914318e-07
1980-05-15,5.1443015536e-07
1980-06-15,5.4394649851e-07
1980-07-15,5.6882618082e-07
1980-08-15,5.8829175487e-07
1980-09-15,6.1502328208e-07
1980-10-15,6.6185646119e-07
1980-11-15,6.928146945e-07
1980-12-15,7.1923528822e-07
1981-01-15,7.5444853564e-07
1981-02-15,7.859722472899999e-07
1981-03-15,8.3304576037e-07
1981-04-15,8.9877909204e-07
1981-05-15,9.664913704899999e-07
1981-06-15,1.05710432763e-06
1981-07-15,1.16538762995e-06
1981-08-15,1.2576969084e-06
1981-09-15,1.34760307446e-06
1981-10-15,1.4260590433e-06
1981-11-15,1.5288291024299999e-06
1981-12-15,1.66340566921e-06
1982-01-15,1.86173645034e-06
1982-02-15,1.96012433662e-06
1982-03-15,2.0525749278e-06
1982-04-15,2.1385230866099997e-06
1982-05-15,2.2039737359599997e-06
1982-06-15,2.37799008573e-06
1982-07-15,2.7646151465900002e-06
1982-08-15,3.17074773193e-06
1982-09-15,3.71188116333e-06
1982-10-15,4.18289937443e-06
1982-11-15,4.65745097245e-06
1982-12-15,5.15207602803e-06
1983-01-15,5.9753683672199996e-06
1983-02-15,6.75427236274e-06
1983-03-15,7.5147995630699995e-06
1983-04-15,8.28663542052e-06
1983-05-15,9.03726777324e-06
1983-06-15,1.046785018843e-05
1983-07-15,1.177120702778e-05
1983-08-15,1.380116373184e-05
1983-09-15,1.6749972928660002e-05
1983-10-15,1.95927623281e-05
1983-11-15,2.336147008464e-05
1983-12-15,2.7496305847309998e-05
1984-01-15,3.094412386417e-05
1984-02-15,3.618865230237e-05
1984-03-15,4.352533142082e-05
1984-04-15,5.1582959713409995e-05
1984-05-15,6.038981155143001e-05
1984-06-15,7.120399823179e-05
1984-07-15,8.422342216363e-05
1984-08-15,0.00010346278577344
1984-09-15,0.00013196135114413001
1984-10-15,0.00015746304416098001
1984-11-15,0.00018104221089743
1984-12-15,0.00021666540123988
1985-01-15,0.00027113215764984
1985-02-15,0.00032725284108892
1985-03-15,0.00041390772094019
1985-04-15,0.0005359030328691
1985-05-15,0.0006703381659463
1985-06-15,0.0008750302367843701
1985-07-15,0.0009291718597523901
1985-08-15,0.00095772696658969
1985-09-15,0.0009768108138814599
1985-10-15,0.00099575333297253
1985-11-15,0.0010193607304245199
1985-12-15,0.0010517326882109
1986-01-15,0.00108353910036385
1986-02-15,0.00110191619023681
1986-03-15,0.00115308910608292
1986-04-15,0.00120765483006835
1986-05-15,0.00125628337264061
1986-06-15,0.0013133935863152099
1986-07-15,0.0014023102121427699
1986-08-15,0.00152543641161174
